k,exit_ok,gamma,kr,tgo,fuel_opt,coeff1,coeff2,coeff3,coeff4
1,1,1.81550578339552,9.49633854210997,620.175751237759,6601.15612178178,0.443782830359313,-0.556217169640687,-0.00675929701064241,2.4690314727574e-05
2,1,0.234113649396314,4.99126278493068,704.382387287229,6730.47421549599,0.0274045473149142,-0.972595452685086,-0.00216222887918292,1.0059895268268e-05
3,1,3.33405721532314,13.1710298328085,768.164937266478,6987.98648171471,0.78222475116596,-0.217775248834041,-0.00828954741182259,2.23208522874444e-05
4,1,0.288546939061671,5.23742704649551,703.567676241254,6722.64764049322,0.0416284043037386,-0.958371595696262,-0.00235988943724891,1.05805009226385e-05
5,1,0.220894242530449,4.93236087356169,693.712142630559,6726.88908557632,0.0243966178328163,-0.975603382167184,-0.00214869679080632,1.02493482851916e-05
6,1,3.2002129666297,12.2024941100513,617.184988416967,6663.2089673222,0.554496708416337,-0.445503291583663,-0.00916377402170548,3.20344961807637e-05
7,1,0.218811435906629,4.92311545078169,692.079389772697,6722.02901510221,0.0239387914193546,-0.976061208580645,-0.00214642501823105,1.02784632698831e-05
8,1,0.286404419579928,5.22764375460734,702.790748498992,6730.77505485603,0.0410136571363578,-0.958986342863642,-0.00235466323080433,1.05840994675992e-05
9,1,0.226348071743547,4.95661555821864,698.228086881,6726.19104086498,0.0256162073860484,-0.974383792613952,-0.00215391505262046,1.01669480928222e-05
10,1,0.287267363059617,5.23158670937648,702.998019304779,6724.55580421262,0.0412609373245537,-0.958739062675446,-0.00235712512199041,1.05858375492632e-05
11,1,0.231829259315353,4.98105828596461,702.696120579654,6730.04567577681,0.0268722180091303,-0.97312778199087,-0.00215939908667737,1.00875688489749e-05
12,1,0.279640860180774,5.19675285267935,697.953351872429,6729.71573045828,0.0390989166090893,-0.960901083390911,-0.00234611000657256,1.06679081699482e-05
13,1,0.273716275073543,5.16978202916886,698.7873637063,6728.4647471603,0.0374600786956787,-0.962539921304321,-0.00232166632876032,1.05872250929603e-05
14,1,2.59464285444005,10.667102133009,679.541240678209,6713.82164869166,0.417269192243606,-0.582730807756394,-0.00699121697751057,2.31001508397768e-05
