k,exit_ok,gamma,kr,tgo,fuel_opt,coeff1,coeff2,coeff3,coeff4
1,1,0.480269257504023,6.15173490442015,665.525424824194,6638.53005152204,0.115329213502437,-0.884670786497563,-0.00329243118892316,1.38889146655288e-05
2,1,0.4782790048807,6.14186379300465,666.123002055632,6642.3871316237,0.114375110585301,-0.885624889414699,-0.00328063585905883,1.38417601544537e-05
3,1,0.475066119388736,6.1259521078651,664.248321661149,6642.15693572694,0.112843890902919,-0.887156109097081,-0.00327561225806968,1.38839380019487e-05
4,1,1.73216926644135,8.95121392938112,602.752679903776,6551.39911202376,0.345043281932674,-0.654956718067326,-0.00633866986246028,2.46378970804454e-05
5,1,0.505803804249543,6.27905262085684,649.372992509584,6627.60812171705,0.127918735664873,-0.872081264335127,-0.00349174522539114,1.48903764680068e-05
6,1,0.479509697118899,6.14796681395788,663.339190591118,6644.84953685899,0.114964627438788,-0.885035372561212,-0.00329989252175362,1.39720522655081e-05
7,1,3.42645277650375,13.5469589582427,758.863487935817,6990.98183493413,0.850559946857671,-0.149440053142329,-0.00872889463162477,2.35241803244642e-05
8,1,0.47611454471664,6.1311430464451,665.754640876469,6643.98766711207,0.113342511375419,-0.886657488624581,-0.00327284843516737,1.38328938336158e-05
9,1,0.481908640378819,6.15986838442343,661.837130277853,6643.85708245729,0.116117763525573,-0.883882236474427,-0.00331811537200299,1.40627150363673e-05
10,1,0.476821223306402,6.13464184535933,665.644294019325,6636.91769928444,0.113679092527055,-0.886320907472945,-0.00327652476675988,1.38453769946521e-05
11,1,0.479416419695836,6.14750516609508,664.969253139861,6643.63988053355,0.114919992166861,-0.885080007833139,-0.00329138913548242,1.39025918393223e-05
12,1,0.47577885715608,6.1294797587222,662.57120545267,6647.70587996476,0.113182646036514,-0.886817353963486,-0.00328707693222143,1.39623493149635e-05
13,1,0.508186569897936,6.29099207673512,651.97508287323,6620.45423300387,0.129126005470252,-0.870873994529748,-0.0034888174465405,1.47998441395404e-05
14,1,0.481099305643752,6.15585288302342,662.79110023762,6639.88525928801,0.115728185487087,-0.884271814512913,-0.00330972251469934,1.40131217657192e-05
15,1,0.477522509224252,6.13811726281715,663.011080853005,6644.91088033648,0.114013823208689,-0.885986176791311,-0.00329266360346286,1.39634780723205e-05
16,1,7.98323279065269,22.6723269366712,689.94752666543,6828.3780000409,1.08189008270656,0.0818900827065567,-0.0165491622329983,4.76281783541597e-05
17,1,0.484287451901899,6.17167423234159,662.623488475269,6638.84896104787,0.117266201976022,-0.882733798023978,-0.00332481923213478,1.40562457329413e-05
18,1,0.476121562700075,6.13117735871331,664.430470904274,6644.03544457856,0.113345810226213,-0.886654189773787,-0.00327940181102379,1.38881627494794e-05
19,1,0.506763626047135,6.28386369915473,651.567255463901,6621.66013880766,0.128404668378591,-0.871595331621409,-0.00348442390085967,1.48015860722638e-05
20,1,0.482959770973617,6.16508757579759,662.965338618187,6639.64578985327,0.116624909867177,-0.883375090132823,-0.00331716994790358,1.40267676817675e-05
21,1,0.479735479484798,6.14908726885086,662.773696381449,6640.7624386892,0.115072989749374,-0.884927010250626,-0.00330371684351608,1.39984557348612e-05
22,1,0.479579398111761,6.14831399125931,663.155063956189,6640.13517342627,0.114998199519447,-0.885001800480553,-0.00330112113159363,1.39806015356563e-05
23,1,0.476540485162768,6.133252731362,662.260064176046,6644.46598849593,0.113545412834782,-0.886454587165218,-0.00329201758712154,1.39840744415715e-05
24,1,0.482549028615701,6.16304649370563,662.264409746086,6639.17513455035,0.116426472889173,-0.883573527110827,-0.00331884016020835,1.40518210650075e-05
25,1,0.481649312380257,6.15858306313092,663.486359955027,6641.85317653284,0.115993006136661,-0.884006993863339,-0.00330871087967946,1.39899707114825e-05
26,1,0.478956641504217,6.14522331135698,663.938949448458,6644.22083840851,0.114699469543169,-0.885300530456831,-0.003294446164122,1.39405970912723e-05
27,1,0.48288680021707,6.16472531056064,664.545712722133,6638.76645988203,0.11658967997799,-0.88341032002201,-0.00330895571690756,1.39593118320287e-05
28,1,0.479484889010554,6.14784579776565,663.013631710197,6642.45092890593,0.114952926089822,-0.885047073910178,-0.00330140395353048,1.39855017031793e-05
29,1,0.483055590752291,6.16556241329991,664.598156681735,6637.0096816586,0.11667109377481,-0.88332890622519,-0.00330944688653123,1.39590040623397e-05
30,1,0.480187254313984,6.15132689277173,664.058875517613,6642.41668323017,0.115289713380707,-0.884710286619293,-0.00329933570733287,1.39494034574393e-05
31,1,0.507862712574912,6.28937524454641,653.121097953425,6618.51365740938,0.128962253177959,-0.871037746822041,-0.00348120721038674,1.47441615474249e-05
