k,exit_ok,gamma,kr,tgo,fuel_opt,",fuel_sim",final_error_1,final_error_2,final_error_3,coeff1,coeff2,coeff3,coeff4
1,1,0.480269257504023,6.15173490442015,665.525424824194,6638.53005152204,6964.51157111947,1.00106978302174e-06,0.00126212710014627,-0.000377149088308215,0.115329213502437,-0.884670786497563,-0.00329243118892316,1.38889146655288e-05
2,1,0.4782790048807,6.14186379300465,666.123002055632,6642.3871316237,6988.7934181478,-8.89637541336022e-06,0.00125784434931239,-0.000371103174984455,0.114375110585301,-0.885624889414699,-0.00328063585905883,1.38417601544537e-05
3,1,0.475066119388736,6.1259521078651,664.248321661149,6642.15693572694,6924.36238432588,1.22251856878975e-05,0.00119540864797468,-0.000335709424689412,0.112843890902919,-0.887156109097081,-0.00327561225806968,1.38839380019487e-05
4,1,1.73216926644135,8.95121392938112,602.752679903776,6551.39911202376,6856.32827716005,-2.83803251404486e-06,0.000987672411285897,-6.44649844616651e-05,0.345043281932674,-0.654956718067326,-0.00633866986246028,2.46378970804454e-05
5,1,0.505803804249543,6.27905262085684,649.372992509584,6627.60812171705,6940.02005809156,-1.93209168841647e-06,0.0010715496457665,-0.000197058310732245,0.127918735664873,-0.872081264335127,-0.00349174522539114,1.48903764680068e-05
6,1,0.479509697118899,6.14796681395788,663.339190591118,6644.84953685899,6939.87257282151,3.08884590304601e-06,0.00123205986227544,-0.000362919643521309,0.114964627438788,-0.885035372561212,-0.00329989252175362,1.39720522655081e-05
7,1,3.42645277650375,13.5469589582427,758.863487935817,6990.98183493413,7273.45165133376,-4.70455094595107e-07,0.00024188055126045,-0.000383529346436262,0.850559946857671,-0.149440053142329,-0.00872889463162477,2.35241803244642e-05
8,1,0.47611454471664,6.1311430464451,665.754640876469,6643.98766711207,6967.23663396887,-4.47608902439029e-06,0.00122054668761384,-0.00035377312451601,0.113342511375419,-0.886657488624581,-0.00327284843516737,1.38328938336158e-05
9,1,0.481908640378819,6.15986838442343,661.837130277853,6643.85708245729,7011.82235504031,-2.27257763685474e-05,0.00128960590204187,-0.000381487421691418,0.116117763525573,-0.883882236474427,-0.00331811537200299,1.40627150363673e-05
10,1,0.476821223306402,6.13464184535933,665.644294019325,6636.91769928444,6997.28658243458,-1.69907991569401e-05,0.00125893169236845,-0.000363066093996167,0.113679092527055,-0.886320907472945,-0.00327652476675988,1.38453769946521e-05
11,1,0.479416419695836,6.14750516609508,664.969253139861,6643.63988053355,6939.98347106169,4.7031238848324e-06,0.0012453004172926,-0.000369283137843013,0.114919992166861,-0.885080007833139,-0.00329138913548242,1.39025918393223e-05
