k,exit_ok,gamma,kr,tgo,fuel_opt,fuel_sim,final_error_1,final_error_2,final_error_3,coeff1,coeff2,coeff3,coeff4
1,1,1.72070359466069,8.73637099221604,663.110261445314,6665.22026548248,6976.65912953343,3.00072229290254e-06,0.00132815316505002,0.00246893125586212,0.299439180507945,-0.700560819492055,-0.00553094242369589,1.98682479432506e-05
2,1,2.00064769798614,9.62160258643814,621.754936147763,6604.36211198814,6923.39219766511,-1.18035974531723e-06,0.000842498839430883,4.29782085120683e-06,0.40514237885377,-0.594857621146231,-0.00678071604576839,2.48890850074309e-05
3,1,3.04168827414577,12.1220102601628,715.007946474139,6831.06464492999,7093.63265151746,1.37231988563201e-06,0.000488222695899558,-0.000439849914982915,0.614961489038871,-0.385038510961129,-0.00793832662575247,2.37111659598543e-05
4,1,2.27957147658762,10.1909563181171,611.332191889801,6607.00606612222,6907.89751843776,-3.54380437226785e-06,0.00132678341505016,0.00239494582638144,0.434603700649242,-0.565396299350757,-0.00741018045476062,2.72684472524185e-05
5,1,0.494877425966659,6.2244122023132,649.424111757202,6632.23291217672,6944.66303992909,-2.1888377232963e-06,0.00120819736434788,-0.000227416399866342,0.122451717496717,-0.877548282503283,-0.00344098375498688,1.47584764750615e-05
6,1,0.496504040834774,6.23252626946057,653.952181946195,6628.91904343439,6921.64771521838,2.59975834517978e-06,0.00129418950076798,-0.000247665913775563,0.123257519086701,-0.876742480913299,-0.00342459390096698,1.45737773845881e-05
7,1,0.494333480462204,6.22169280042136,648.186941119845,6628.55183580766,6928.13689856152,-1.02155838101604e-06,0.00166476386040323,0.00251053040847182,0.122182129918213,-0.877817870081787,-0.0034450378254628,1.4808395653812e-05
8,1,2.31178468744465,10.0496313256552,676.69622033571,6709.76691242769,7015.52011054137,-2.25140278619154e-06,0.000864032305420777,-0.00058576581068337,0.382295084298596,-0.617704915701404,-0.00651268710343886,2.19463665372427e-05
9,1,0.496488280223451,6.23245127529374,652.454220512504,6627.30247765043,6992.84930763186,-1.74614961756616e-05,0.00106357212431524,-0.000167712103575468,0.123250061782721,-0.876749938217279,-0.00343238748255852,1.46405975404318e-05
10,1,2.67404160991306,10.5378996178583,728.582208758862,6826.92480922274,7174.64971661612,-4.05476019896191e-06,0.000820353712067269,-0.000700294971466064,0.340349832332159,-0.659650167667841,-0.00632639609621162,1.98516647915712e-05
