k,exit_ok,gamma,kr,tgo,fuel_opt,coeff1,coeff2,coeff3,coeff4
1,1,1.16109829884717,7.83433527810415,602.80434344218,6534.13315622552,0.277710701069489,-0.722289298930511,-0.00530002541434576,2.15600323341278e-05
2,1,0.468857258562374,7.92339749692119,604.001252623405,6540.59160051993,0.283503457315885,-0.716496542684115,-0.00537284019144223,2.17187969625105e-05
3,1,3.56303762410438,13.0154236904487,639.127239767687,6679.87982792239,0.605048899505491,-0.394951100494509,-0.00956423128976907,3.18627792615347e-05
4,1,0.538892108697154,7.47246365219908,600.092456853535,6520.96177349572,0.254141136178068,-0.745858863821932,-0.00498318705413667,2.07504479151951e-05
5,1,1.65049398490376,8.80896998027095,606.230781110597,6573.33047615234,0.340901155830639,-0.659098844169361,-0.00617815238464909,2.39689584498002e-05
6,1,1.36080332531047,8.21557604061471,604.405275210201,6552.09558641257,0.302457227786124,-0.697542772213876,-0.00564231549254341,2.2489589445781e-05
7,1,1.08003415299197,7.68784373722516,595.65638257932,6539.28909191938,0.267862231696308,-0.732137768303691,-0.00522412617629344,2.16677066838852e-05
8,1,1.31260496109798,8.12126494054893,605.320030195364,6548.51992468933,0.296402568707551,-0.703597431292449,-0.00554588460900352,2.21642779926427e-05
9,1,3.31375726984415,12.559848688448,639.575047901374,6670.54415985591,0.602519649284666,-0.397480350715333,-0.00919742571698293,3.07044543072357e-05
10,1,0.58292404960502,6.67149633554681,658.911095289865,6633.67848011027,0.169900188768675,-0.830099811231325,-0.00380271082768732,1.53663107139935e-05
11,1,2.80299300764083,11.6604290415048,638.591694232091,6664.53586899151,0.5994792651102,-0.400520734889801,-0.00850260633657602,2.85935448057238e-05
12,1,3.09021488934751,12.5966038534701,649.403525253807,6711.27199357371,0.733416689023381,-0.26658331097662,-0.00928809034937264,2.98692410624956e-05
13,1,0.683430207289754,7.21915602841726,597.59387973547,6526.06517598192,0.235876225118149,-0.764123774881851,-0.0047615183752992,2.02150186514464e-05
14,1,1.04278917044471,7.63402252378037,599.064760160673,6531.03895829819,0.265332353723474,-0.734667646276526,-0.00514525944538442,2.12718808063715e-05
15,1,0.667666450971986,8.31766775617277,613.807382003684,6593.74382786743,0.373211000012293,-0.626788999987708,-0.00575432127676411,2.20768625809163e-05
16,1,1.18773409209538,7.88268585456183,601.733870150276,6539.24898356793,0.280790956771988,-0.719209043228012,-0.00535474907411845,2.17703446261128e-05
17,1,3.04996600008167,11.8758487189475,629.235950254927,6641.43604491795,0.536289314738018,-0.463710685261982,-0.00869977894936541,2.99942220384601e-05
18,1,0.677992865858626,7.93982943672398,608.159919212574,6568.72643395869,0.327078466268917,-0.672921533731083,-0.00542126023184782,2.14672089692974e-05
19,1,1.29131297973839,8.07634311042202,601.477556649579,6546.37989224322,0.293022322238517,-0.706977677761483,-0.00553835108329783,2.23242001344175e-05
20,1,1.21269385782258,7.91380512812145,604.673627751649,6542.86331229032,0.280916068238372,-0.719083931761628,-0.0053546549472287,2.16442876233148e-05
21,1,1.01769093270681,7.58704812232697,598.451191390991,6530.3510148051,0.261643209238693,-0.738356790761307,-0.00510512354950952,2.11843609160724e-05
22,1,0.366201772008485,10.6681490238609,622.935751232543,6613.69521824087,0.459318503312828,-0.540681496687172,-0.00769484333779052,2.74917610764358e-05
23,1,3.07431681723352,12.5851225242912,649.30291099926,6709.16942833914,0.738083473971254,-0.261916526028747,-0.00928787571094642,2.98512655719023e-05
24,1,0.449877489751631,7.85427984544483,613.060922688046,6557.31945542008,0.27127361177422,-0.72872638822578,-0.00521712184895552,2.08977294323585e-05
25,1,0.700535623788071,7.56469354370877,601.577512322546,6542.96147790783,0.280628494864469,-0.719371505135531,-0.00509157208169807,2.09029774453018e-05
