k,exit_ok,gamma,kr,tgo,fuel_opt,coeff1,coeff2,coeff3,coeff4
1,1,0.627785299607845,5.25567272056978,638.234620168025,6544.57129659412,1.21985393710176e-05,-0.999987801460629,-0.00255054882230566,1.29023136954822e-05
2,1,0.627534653453378,5.25517988357972,638.766873181901,6548.49770502446,1.3204525020303e-05,-0.99998679547498,-0.00254803937813379,1.28796130616383e-05
3,1,0.627460632871129,5.25503130648607,637.413872304571,6549.85607975215,1.31393471498321e-05,-0.99998686065285,-0.00255333130216613,1.29339829975083e-05
4,1,0.625136980708247,5.25037438192027,638.962411292171,6541.38214313198,1.19568180622418e-05,-0.999988043181938,-0.00254349726847244,1.28599609995495e-05
5,1,0.637204497348126,5.27451096770641,631.565193094011,6554.86337048009,1.23194201936365e-05,-0.999987680579806,-0.00259239714470725,1.32234819128112e-05
6,1,0.631000236154622,5.26210251495212,635.923084797098,6550.66872103102,1.2236587984117e-05,-0.999987763412016,-0.00256487542763833,1.30121818252607e-05
7,1,0.638050532207625,5.27621089442469,630.353981914641,6551.11723901752,1.32819851478915e-05,-0.999986718014852,-0.00259872829584079,1.32786261898012e-05
8,1,0.627634501021818,5.25537936303086,638.379461334256,6550.26370783049,1.31803649103771e-05,-0.99998681963509,-0.00254974190190632,1.28957397323277e-05
9,1,0.632689100322342,5.26548837231787,634.522744731612,6549.67175444184,1.32382545247886e-05,-0.999986761745475,-0.00257320551228479,1.30780884331983e-05
10,1,0.626157162073149,5.25242477969526,638.487502604295,6543.61235412286,1.31680110530759e-05,-0.999986831988947,-0.00254699669331906,1.28841282585438e-05
11,1,0.629118296109929,5.25833867932448,637.613840691878,6549.63607529934,1.22141452149991e-05,-0.999987785854785,-0.00255512263039902,1.29340067505116e-05
12,1,0.631903730334864,5.26391736971824,634.88059769958,6553.19730148329,1.31942397727105e-05,-0.999986805760227,-0.00257051780289422,1.3059451995452e-05
13,1,0.63353094058318,5.26717220815488,634.100515173891,6547.2455133753,1.32703132001172e-05,-0.9999867296868,-0.00257624672319128,1.30996986654268e-05
14,1,0.630746584653569,5.26159358207337,635.470272910504,6545.74432142242,1.20374592002935e-05,-0.9999879625408,-0.0025663023087243,1.30294721127114e-05
15,1,0.631052650499381,5.26221539617905,635.468813640514,6550.59619480649,1.32030530281883e-05,-0.999986796946972,-0.00256679929231788,1.3031071781246e-05
16,1,0.629792793886385,5.25968764662559,636.309914045226,6547.41490587502,1.22207213831503e-05,-0.999987779278617,-0.00256141859188184,1.29904014974695e-05
17,1,0.631337832737137,5.26278612307827,635.481496898219,6544.84421584304,1.32510663300456e-05,-0.99998674893367,-0.00256719718916813,1.30319648866153e-05
18,1,0.62926526796542,5.25864073771447,636.847711055153,6549.76439139232,1.31873637378606e-05,-0.999986812636262,-0.00255843512968184,1.29658895295948e-05
19,1,0.63334044325492,5.26678290662288,633.698407809333,6548.56687750886,1.22683460435471e-05,-0.999987731653956,-0.0025775727089233,1.31153590811971e-05
20,1,0.630933176753918,5.26196843399452,635.742086050006,6545.57236593416,1.22401371335211e-05,-0.999987759862866,-0.00256550021293714,1.30192603925032e-05
21,1,0.630776583086248,5.261663396724,635.369499397643,6546.54662712221,1.32148908195126e-05,-0.99998678510918,-0.00256676613340573,1.30337784887668e-05
22,1,0.630307255881015,5.26072472341277,635.741591069138,6545.92121687044,1.3205149890099e-05,-0.99998679485011,-0.00256452557101768,1.30162034490965e-05
23,1,0.63164491985566,5.26339979682826,634.618310095288,6549.97716537814,1.31959015051386e-05,-0.999986804098495,-0.00257117241711894,1.30689640355316e-05
24,1,0.631452845365413,5.26300775113771,634.993568338645,6545.00585948996,1.22453903052209e-05,-0.999987754609695,-0.00256934274976634,1.30525497341782e-05
25,1,0.630717437378296,5.26154521544109,636.193572923397,6547.75404399969,1.32271510378536e-05,-0.999986772848962,-0.00256334849058266,1.2999742568182e-05
26,1,0.630143177426604,5.2603884129315,636.522093971553,6550.0956344508,1.22257986350176e-05,-0.999987774201365,-0.00256111523496817,1.29834720349166e-05
27,1,0.629205871828747,5.25851386987851,637.382504079683,6544.86950192694,1.22201191279199e-05,-0.999987779880872,-0.00255618744573306,1.29438284257505e-05
28,1,0.630852197000628,5.26180643405653,635.585307401256,6548.21569007163,1.22340953101059e-05,-0.99998776590469,-0.00256600558907185,1.30252830372507e-05
29,1,0.628818958581251,5.25774005519097,637.456854721574,6543.13886022347,1.22158143458575e-05,-0.999987784185654,-0.00255528234004369,1.29389048599455e-05
30,1,0.629949070493786,5.25999855497193,636.702471929963,6548.3110436799,1.20260306219227e-05,-0.999987973969378,-0.00256008320271747,1.29751549495737e-05
31,1,0.631242961442498,5.26259882761693,635.212431628974,6545.16809411205,1.35430894055012e-05,-0.999986456910595,-0.00256813764288971,1.30425432827201e-05
32,1,0.631724097174425,5.26355021158665,634.919945070476,6549.91802997334,1.22442066618936e-05,-0.999987755793338,-0.0025700678686647,1.30569226166602e-05
33,1,0.630415492277188,5.26094157874643,637.155280157451,6548.44226480522,1.32527146816634e-05,-0.999986747285318,-0.00255900577593107,1.29590422601401e-05
34,1,0.636338004801415,5.27277798376354,631.198735284793,6549.33347611923,1.23068502316738e-05,-0.999987693149768,-0.00259252943210298,1.32344910694265e-05
35,1,0.626742165465129,5.25359499695441,638.664782089357,6542.04111615262,1.32024879586177e-05,-0.999986797512041,-0.00254720589985116,1.28798454764318e-05
36,1,0.630091796103057,5.2602939915885,637.071043148273,6550.35556019876,1.32242048052787e-05,-0.999986775795195,-0.00255883584339847,1.29608739228787e-05
37,1,0.633982343308445,5.26806670275235,633.397570655984,6549.40359157667,1.22773086876875e-05,-0.999987722691312,-0.00257981038195734,1.3131020476145e-05
38,1,0.62524583347912,5.25059376586045,640.141712911889,6549.07816242822,1.21582734077523e-05,-0.999987841726592,-0.00253898317891268,1.28131574646617e-05
39,1,0.630773894325603,5.26165808304544,635.821196743595,6547.97234169098,1.32225016981843e-05,-0.999986777498302,-0.00256493849588044,1.30152531217204e-05
40,1,0.627109672703143,5.25432149348541,638.517833658409,6542.00340249739,1.21917347286601e-05,-0.999987808265271,-0.00254835942350191,1.28875564083713e-05
41,1,0.622326207430327,5.24475453476174,642.087411154654,6547.24435566717,1.21174647469609e-05,-0.999987882535253,-0.00252674224203852,1.27214570731303e-05
42,1,0.632163316022945,5.26442866709682,634.522045452199,6547.60815995081,1.2252814206438e-05,-0.999987747185794,-0.0025723717529773,1.30754852239139e-05
