k,exit_ok,gamma,kr,tgo,fuel_opt,fuel_sim,final_error_1,final_error_2,final_error_3,coeff1,coeff2,coeff3,coeff4
1,1,0.627785299607845,5.25567272056978,638.234620168025,6544.57129659412,6863.28009760143,4.71028878166405e-07,4.38914331823846e-05,-0.000135742360725999,1.21985393710176e-05,-0.999987801460629,-0.00255054882230566,1.29023136954822e-05
2,1,0.627534653453378,5.25517988357972,638.766873181901,6548.49770502446,6887.30620267304,-3.17333434033746e-06,0.0007432050539428,0.000230891862884164,1.3204525020303e-05,-0.99998679547498,-0.00254803937813379,1.28796130616383e-05
3,1,0.627460632871129,5.25503130648607,637.413872304571,6549.85607975215,6825.48658571623,-1.33926717684156e-06,4.28250178253893e-05,-0.000132879242300987,1.31393471498321e-05,-0.99998686065285,-0.00255333130216613,1.29339829975083e-05
4,1,0.625136980708247,5.25037438192027,638.962411292171,6541.38214313198,6865.87492272189,4.80257338878985e-07,4.49896694084422e-05,-0.000141970813274384,1.19568180622418e-05,-0.999988043181938,-0.00254349726847244,1.28599609995495e-05
5,1,0.637204497348126,5.27451096770641,631.565193094011,6554.86337048009,6862.3828832747,-1.05948464081297e-06,0.000737570899818643,0.000233458820730448,1.23194201936365e-05,-0.999987680579806,-0.00259239714470725,1.32234819128112e-05
6,1,0.631000236154622,5.26210251495212,635.923084797098,6550.66872103102,6838.81268242741,-9.48683181701645e-07,4.41793553844577e-05,-0.000134906731545925,1.2236587984117e-05,-0.999987763412016,-0.00256487542763833,1.30121818252607e-05
7,1,0.638050532207625,5.27621089442469,630.353981914641,6551.11723901752,6845.86216101443,-8.65634885589643e-07,0.000734224233520128,0.000233117025345564,1.32819851478915e-05,-0.999986718014852,-0.00259872829584079,1.32786261898012e-05
8,1,0.627634501021818,5.25537936303086,638.379461334256,6550.26370783049,6866.23403652728,-2.31239230377099e-06,0.000736815894272223,0.000231710029765964,1.31803649103771e-05,-0.99998681963509,-0.00254974190190632,1.28957397323277e-05
9,1,0.632689100322342,5.26548837231787,634.522744731612,6549.67175444184,6909.74964296014,-9.23083243249239e-06,0.00076273183200783,0.000235448824241757,1.32382545247886e-05,-0.999986761745475,-0.00257320551228479,1.30780884331983e-05
10,1,0.626157162073149,5.25242477969526,638.487502604295,6543.61235412286,6896.24621466431,-6.91414623423377e-06,0.000748889671623199,0.00023311167024076,1.31680110530759e-05,-0.999986831988947,-0.00254699669331906,1.28841282585438e-05
11,1,0.629118296109929,5.25833867932448,637.613840691878,6549.63607529934,6839.09852262121,-9.28166753121831e-07,4.40808924126191e-05,-0.000135356094688177,1.22141452149991e-05,-0.999987785854785,-0.00255512263039902,1.29340067505116e-05
12,1,0.631903730334864,5.26391736971824,634.88059769958,6553.19730148329,6905.73595910702,-6.86252166581732e-06,0.000753552868423645,0.000236692605540156,1.31942397727105e-05,-0.999986805760227,-0.00257051780289422,1.3059451995452e-05
13,1,0.63353094058318,5.26717220815488,634.100515173891,6547.2455133753,6863.75785502121,5.29814231927654e-07,4.40467866767729e-05,-0.000132982851937413,1.32703132001172e-05,-0.9999867296868,-0.00257624672319128,1.30996986654268e-05
14,1,0.630746584653569,5.26159358207337,635.470272910504,6545.74432142242,6852.02778024148,8.65777423566941e-08,4.30840957525582e-05,-0.000132145825773478,1.20374592002935e-05,-0.9999879625408,-0.0025663023087243,1.30294721127114e-05
15,1,0.631052650499381,5.26221539617905,635.468813640514,6550.59619480649,6868.74293017994,-2.23481633970665e-06,0.000736524669757012,0.000233001774176955,1.32030530281883e-05,-0.999986796946972,-0.00256679929231788,1.3031071781246e-05
16,1,0.629792793886385,5.25968764662559,636.309914045226,6547.41490587502,6852.61060414319,-1.09421253049745e-07,4.38257832858395e-05,-0.000134859699755907,1.22207213831503e-05,-0.999987779278617,-0.00256141859188184,1.29904014974695e-05
17,1,0.631337832737137,5.26278612307827,635.481496898219,6544.84421584304,6850.18479049036,-8.80256607344286e-08,4.38845007827312e-05,-0.000133778201416135,1.32510663300456e-05,-0.99998674893367,-0.00256719718916813,1.30319648866153e-05
18,1,0.62926526796542,5.25864073771447,636.847711055153,6549.76439139232,6881.26879211828,-4.17478675008513e-06,0.000742827196961939,0.000233265105634928,1.31873637378606e-05,-0.999986812636262,-0.00255843512968184,1.29658895295948e-05
19,1,0.63334044325492,5.26678290662288,633.698407809333,6548.56687750886,6875.02348478226,-3.86048731591126e-06,0.00074271627194398,0.000233100028708577,1.22683460435471e-05,-0.999987731653956,-0.0025775727089233,1.31153590811971e-05
20,1,0.630933176753918,5.26196843399452,635.742086050006,6545.57236593416,6874.55592306912,-4.80647142710465e-06,0.000745639045363334,0.000231162644922733,1.22401371335211e-05,-0.999987759862866,-0.00256550021293714,1.30192603925032e-05
21,1,0.630776583086248,5.261663396724,635.369499397643,6546.54662712221,6863.83045442791,4.77571121803945e-07,4.41538333735163e-05,-0.000135352136567235,1.32148908195126e-05,-0.99998678510918,-0.00256676613340573,1.30337784887668e-05
22,1,0.630307255881015,5.26072472341277,635.741591069138,6545.92121687044,6835.37759453561,-7.43445874972007e-07,4.32500927721433e-05,-0.000132506946101785,1.3205149890099e-05,-0.99998679485011,-0.00256452557101768,1.30162034490965e-05
23,1,0.63164491985566,5.26339979682826,634.618310095288,6549.97716537814,6867.20281047585,5.17149076379115e-07,4.42426500675405e-05,-0.000135211739689112,1.31959015051386e-05,-0.999986804098495,-0.00257117241711894,1.30689640355316e-05
24,1,0.631452845365413,5.26300775113771,634.993568338645,6545.00585948996,6876.32000595774,-3.98232822216275e-06,0.000742102591887009,0.000231485115364194,1.22453903052209e-05,-0.999987754609695,-0.00256934274976634,1.30525497341782e-05
25,1,0.630717437378296,5.26154521544109,636.193572923397,6547.75404399969,6863.3854758877,-1.38142490725999e-06,0.000735092483988187,0.000229867873713374,1.32271510378536e-05,-0.999986772848962,-0.00256334849058266,1.2999742568182e-05
26,1,0.630143177426604,5.2603884129315,636.522093971553,6550.0956344508,6874.25865034222,-1.43289036186144e-06,0.000736153451315884,0.000231429701671004,1.22257986350176e-05,-0.999987774201365,-0.00256111523496817,1.29834720349166e-05
27,1,0.629205871828747,5.25851386987851,637.382504079683,6544.86950192694,6865.3396959778,-1.42232491159931e-06,0.000735899391982161,0.000228468328714371,1.22201191279199e-05,-0.999987779880872,-0.00255618744573306,1.29438284257505e-05
28,1,0.630852197000628,5.26180643405653,635.585307401256,6548.21569007163,6851.12880243486,-9.59549994911406e-08,4.33549981771298e-05,-0.000132647342979908,1.22340953101059e-05,-0.99998776590469,-0.00256600558907185,1.30252830372507e-05
29,1,0.628818958581251,5.25774005519097,637.456854721574,6543.13886022347,6857.11721532548,-1.49517738259484e-06,0.000734582684557356,0.000228148885071278,1.22158143458575e-05,-0.999987784185654,-0.00255528234004369,1.29389048599455e-05
30,1,0.629949070493786,5.25999855497193,636.702471929963,6548.3110436799,6845.2617100162,-3.90577387953548e-07,4.32443611575086e-05,-0.000132386572659016,1.20260306219227e-05,-0.999987973969378,-0.00256008320271747,1.29751549495737e-05
31,1,0.631242961442498,5.26259882761693,635.212431628974,6545.16809411205,6865.53657211717,-2.07476617499343e-06,0.000735750589111603,0.000230578705668449,1.35430894055012e-05,-0.999986456910595,-0.00256813764288971,1.30425432827201e-05
32,1,0.631724097174425,5.26355021158665,634.919945070476,6549.91802997334,6839.31805150519,-7.13252019365857e-07,4.34087180794317e-05,-0.000132409390062094,1.22442066618936e-05,-0.999987755793338,-0.0025700678686647,1.30569226166602e-05
33,1,0.630415492277188,5.26094157874643,637.155280157451,6548.44226480522,6841.53016017575,-6.96394780480521e-07,4.39967488119465e-05,-0.000133767956867814,1.32527146816634e-05,-0.999986747285318,-0.00255900577593107,1.29590422601401e-05
