k,exit_ok,gamma,kr,tgo,fuel_opt,coeff1,coeff2,coeff3,coeff4
1,1,0.798634701817088,6.73169249167897,683.48776033761,6694.60225043533,0.161862790464728,-0.838137209535272,-0.00369825062420378,1.44099603336434e-05
2,1,0.583138353993085,6.67259756131174,659.184851582338,6638.46250490081,0.170024470744257,-0.829975529255743,-0.00380215541267951,1.5356084577411e-05
3,1,0.582426557792825,6.66892687506223,657.845335479669,6639.91039027002,0.169610341822688,-0.830389658177312,-0.00380647797331869,1.54102028717056e-05
4,1,0.582898521661796,6.67136495647327,659.399325289341,6631.51290244712,0.169885363957651,-0.830114636042349,-0.00379977313609603,1.53432620500443e-05
5,1,1.14332836674719,7.7966607910533,598.166580558373,6546.7189642037,0.274618218569546,-0.725381781430454,-0.00530445651299063,2.17903571714875e-05
6,1,0.902252468580887,6.90670382596805,683.491148618188,6707.2345859951,0.171325837269222,-0.828674162730778,-0.00384010496048054,1.47844455962875e-05
7,1,0.583769950545313,6.67586038576096,650.591494407899,6640.41500873157,0.170392912603664,-0.829607087396336,-0.00385545019731154,1.57721349092395e-05
8,1,1.00949045301429,8.24376171804429,763.899520474558,6977.90562382073,0.373135423561447,-0.626864576438553,-0.00457523036591563,1.41270979193143e-05
9,1,0.583440982972852,6.67416489843988,654.853717619694,6639.32645350802,0.170201417711629,-0.829798582288371,-0.00382876938691776,1.55635382669261e-05
10,1,0.582926592658165,6.67151701279581,658.909022447434,6633.67388317522,0.169902522033738,-0.830097477966262,-0.00380274202214546,1.53664550207438e-05
11,1,0.583212875163017,6.67298677889569,658.007614253782,6639.50873943366,0.170068405420365,-0.829931594579635,-0.00380932034914337,1.54119796205902e-05
12,1,0.582848142642909,6.67110510184229,655.247945118009,6642.97158234895,0.169856043443261,-0.830143956556739,-0.00382360389381028,1.5537689829385e-05
13,1,1.28402733130249,7.53690545373399,721.459200495778,6810.49808934607,0.18940629450704,-0.81059370549296,-0.00409982854101997,1.44800317780522e-05
14,1,0.583464755779888,6.67428417471337,655.813557428596,6635.47688009741,0.170214886509085,-0.829785113490916,-0.00382327712726306,1.55182917669318e-05
15,1,0.583068529965255,6.67224104658865,655.827607228416,6640.35664754854,0.169984231407012,-0.830015768592988,-0.00382128584871922,1.55128766298603e-05
16,1,0.488561096689318,7.74832402875694,600.566057399589,6535.44517050048,0.272024948401116,-0.727975051598884,-0.00523870259401999,2.14825686249236e-05
17,1,0.895622780440275,7.5972307077493,601.026180485838,6538.82792467889,0.279297678136531,-0.720702321863469,-0.00512109643796741,2.10314170139347e-05
18,1,0.582939550732387,6.67157765480392,657.238125528416,6639.64999072534,0.169909365082324,-0.830090634917676,-0.00381246628148621,1.5444827023444e-05
19,1,0.58348815316229,6.67441108153537,654.017397691296,6638.17737317082,0.170229217409751,-0.829770782590249,-0.00383389611198229,1.56039427813745e-05
20,1,0.583582468643325,6.67491198944069,656.085477666462,6635.30181138638,0.170285786783457,-0.829714213216543,-0.0038222790579411,1.55068895692506e-05
21,1,0.583309983321826,6.67349115879728,655.72049256305,6636.30247687657,0.170125346094358,-0.829874653905642,-0.00382307851275817,1.55208526742829e-05
22,1,0.583282102849353,6.67334706296459,656.097933993925,6635.7116010651,0.170109078012424,-0.829890921987576,-0.0038207445559765,1.55026653268859e-05
23,1,0.582987968837546,6.67182632299012,654.967587333598,6639.71923189071,0.169937426751378,-0.830062573248621,-0.00382591541429991,1.55526756773674e-05
24,1,0.583562236723069,6.67479258040375,655.32684669529,6634.70878465122,0.170272300822945,-0.829727699177055,-0.0038265921862817,1.55425350170343e-05
25,1,1.12889673166313,7.98475156394916,605.688963769081,6555.92744584537,0.311540699918865,-0.688459300081135,-0.00545480713621367,2.17651711802827e-05
26,1,1.38229947827709,7.783114460459,723.74911321449,6814.72562362101,0.208126669253714,-0.791873330746286,-0.0042828154713947,1.48585807263409e-05
27,1,1.56328543267558,8.62697391035712,609.203528274313,6556.87116743771,0.329128590414194,-0.670871409585806,-0.00597930802520328,2.32452202105639e-05
28,1,0.713872087637003,7.24939348020405,595.630101540517,6522.36333590526,0.239588409154759,-0.760411590845241,-0.00480883209537043,2.04337651426401e-05
29,1,0.583657720780405,6.6752843393497,657.821134486171,6632.95956804432,0.170327842347738,-0.829672157652262,-0.00381254094850811,1.5426028336325e-05
30,1,1.0473304301506,9.08664190421752,781.797990558599,7066.33132768653,0.51415375942222,-0.485846240577781,-0.00518992727089499,1.48666909573588e-05
31,1,0.925070532655306,7.69387094517206,603.360069360878,6547.59115939454,0.291545137629151,-0.708454862370849,-0.00520167105778094,2.11344897599589e-05
32,1,0.583182441811322,6.67283020522386,655.270426198641,6639.64570185898,0.170050730938587,-0.829949269061413,-0.00382508615273704,1.55406413780594e-05
33,1,0.583633508529121,6.67515797888629,657.513874531053,6638.18810620346,0.170313569944384,-0.829686430055616,-0.00381420477427368,1.54401567641577e-05
34,1,0.583637954358261,6.67518470341588,651.455842427084,6638.73052551881,0.170316588439296,-0.829683411560704,-0.00384969905374352,1.57287178027136e-05
35,1,0.583294886824706,6.67341261408233,659.072918742247,6632.0486962754,0.170116478505391,-0.829883521494609,-0.00380355908164228,1.53631773552362e-05
