k,exit_ok,gamma,kr,tgo,fuel_opt,fuel_sim,final_error_1,final_error_2,final_error_3,coeff1,coeff2,coeff3,coeff4
1,1,0.583243742035535,6.67314425201857,657.265169239254,6637.24461249418,6959.06391525393,1.01656093192792e-06,0.000855578294336085,-0.000232924241572618,0.170086182151831,-0.829913817848169,-0.00381377018816078,1.54471824730161e-05
2,1,0.705020431688909,7.21643508221413,598.528034910846,6527.36981716073,6853.5878109693,-3.84718435747652e-06,0.00112641819923643,-0.00042962864972651,0.235403920991675,-0.764596079008325,-0.0047510246742616,2.01443711362501e-05
3,1,0.582392507585077,6.66875037976791,656.464857778816,6642.34084337235,6920.37719767449,7.23988491412643e-06,0.000850599788765486,-0.000223312526941299,0.169590439376756,-0.830409560623244,-0.003814317856607,1.54746735909219e-05
4,1,0.582957422108325,6.67166792591244,658.021946282349,6634.04187701652,6961.63850923738,-4.82129275687171e-06,0.00101472981569491,-0.000411094166338444,0.169919551774987,-0.830080448225013,-0.00380800903205137,1.54082623676025e-05
5,1,0.582874385256423,6.67123419179131,650.402001726065,6646.39251635978,6957.04622393729,-1.84062386665801e-06,0.00107631857834056,0.0024247164838016,0.169870608971383,-0.830129391028617,-0.00385221401259201,1.57703905366387e-05
6,1,0.582929781158844,6.67152106072215,654.896659027823,6642.91199979182,6933.83150750953,1.81566825207342e-06,0.00112672644973247,0.00249074236489832,0.169902978812383,-0.830097021187617,-0.00382604411647641,1.55553329615606e-05
7,1,0.582890735049667,6.67131702843303,649.17528655192,6642.78418206495,6940.43364554432,-9.51285346488637e-07,0.00111838722944928,-0.000409507192671299,0.169879955882777,-0.830120044117223,-0.00385957155486834,1.58302445009242e-05
8,1,0.582915807102324,6.67145377960714,657.374739765245,6642.31863447201,6961.29623515697,-3.40171927257476e-06,0.00100087741152523,-0.000408080872148275,0.16989538670278,-0.83010461329722,-0.003811558499192,1.54381216132795e-05
9,1,0.583062024010102,6.67220751649503,653.40728104046,6641.30943863463,7005.18824937831,-1.72776161570731e-05,0.00113371291996515,0.00249620503745973,0.169980447100107,-0.830019552899893,-0.00383540905965577,1.56279353486826e-05
10,1,0.582980632086024,6.6717805002494,657.494110775698,6635.79497273393,6991.92766252152,-1.15819541285738e-05,0.00101834707438975,-0.000413085799664259,0.169932255617942,-0.830067744382058,-0.00381117102750369,1.54332721769953e-05
11,1,0.473120644031655,7.57168925273671,609.382909705688,6553.37945792199,6831.0510674929,6.30461056555021e-07,0.000966204226305506,-0.000312322052195668,0.251130820268624,-0.748869179731376,-0.00498368989065306,2.03897659953718e-05
12,1,0.582459270808681,6.66909065176949,653.897146497943,6645.82590482209,7001.98128146814,-1.33846569356903e-05,0.00113839410100875,0.00250720861367881,0.169628810869031,-0.830371189130969,-0.00382961471871426,1.55972393375722e-05
13,1,0.583369328500452,6.67379756717528,652.957244060863,6638.8674514128,6958.64721498765,-8.14748608909911e-07,0.00109956242978452,0.00245244707912207,0.170159940884136,-0.829840059115864,-0.00383954500432511,1.56532146423452e-05
14,1,0.583181989167193,6.672827407907,654.366629377225,6637.41443263404,6946.74965089247,3.47792373563811e-06,0.00111221043660816,0.00247121672146022,0.17005041517594,-0.82994958482406,-0.00383036665777852,1.55835932767384e-05
15,1,0.714945867504055,6.77956468227785,651.958252478798,6637.8748029669,6957.93025477555,-2.5795026264595e-06,0.000757551289794717,-0.000318528385832906,0.177709454115124,-0.822290545884876,-0.00393812300939859,1.59500568235457e-05
16,1,0.583020445589793,6.6719959528917,655.259318609786,6639.38508568583,6947.58172085819,1.28322270302554e-06,0.00112837773143388,0.0024927572812885,0.169956570149626,-0.830043429850374,-0.00382437071160189,1.55392252629935e-05
17,1,0.583400329277912,6.6739597257725,654.372813958379,6636.62104089346,6945.03769855685,2.12320676884329e-07,0.00111651463173608,0.00247445818968117,0.17017825037093,-0.82982174962907,-0.00383139100490908,1.55859430555745e-05
18,1,0.58277183773507,6.67069638418972,655.861840864971,6642.22370886774,6976.96855628749,-5.83267550134534e-06,0.000858806193808462,-0.000229223864153027,0.16980993003657,-0.83019006996343,-0.00381964304986482,1.55076662932666e-05
19,1,0.674463054630139,7.07864687487737,607.706595620824,6550.63031145366,6868.96433906864,-4.20283088734149e-06,0.000864649466318809,-0.000318289967253804,0.218105976303461,-0.781894023696539,-0.00453743539005891,1.91673621207942e-05
20,1,0.61947082906295,6.95626852950007,621.135394216854,6567.78889595404,6891.88087402948,-7.19608064881467e-06,0.00112334341971782,-0.000431424006819725,0.203062750113311,-0.796937249886689,-0.0043166063950419,1.80303344945851e-05
21,1,0.709678416206429,7.21929067438446,595.639203709435,6526.98898243686,6831.94366850131,-1.87743549661203e-07,0.00109207618052525,-0.000415309332311153,0.235705866535094,-0.764294133464905,-0.00477697100192106,2.03482928673283e-05
22,1,0.617257784374067,6.95866487848085,620.97633837355,6568.20571968393,6852.5710709476,3.44608896505607e-06,0.00112001595665274,-0.000427728518843651,0.203312908115051,-0.796687091884949,-0.00432004439071191,1.80457866079161e-05
23,1,1.31115645782929,7.66272258436111,724.366531433035,6829.16363411078,7150.79103728747,-1.89631568227289e-07,0.000841318389049648,-0.000775866210460663,0.2059914524247,-0.7940085475753,-0.00419311579539211,1.46038159500242e-05
24,1,0.500814301480512,6.76968834411887,651.944142522338,6633.4632122885,6967.07897064437,-6.00017538480573e-06,0.000959926087497987,-0.000285477843135595,0.177036256494449,-0.822963743505551,-0.00392960111374282,1.5927510502929e-05
25,1,0.583040992709649,6.67210191786679,655.220115796191,6640.68420217689,6959.45881109164,-2.59552803361064e-06,0.00113279500080264,0.00249762390740216,0.169968529135419,-0.830031470864581,-0.00382469864348353,1.55413316137564e-05
26,1,0.682428644848743,7.1768380903601,600.407691673313,6535.64973834001,6848.59848838042,-1.48308627294461e-06,0.000975284192010199,-0.000380576122552156,0.230490306734301,-0.769509693265699,-0.0046949920712344,1.99085969396191e-05
27,1,0.536642187514228,6.74699513964115,651.920413056069,6627.50567811547,6949.92776049717,-2.11223688550109e-06,0.000898986170486518,-0.00025581126101315,0.177041880484539,-0.822958119515461,-0.00391234788668253,1.58752742784758e-05
28,1,0.582909942499136,6.67141687981857,654.568490404162,6640.62168001574,6946.50982819477,3.51822967474286e-06,0.00111727473146272,0.00247949478216469,0.169891222925954,-0.830108777074046,-0.00382786476826613,1.55706910855456e-05
29,1,0.514794588175621,7.17059643761968,668.780636307194,6676.54464798137,6992.96342953288,-1.72712050114588e-06,0.000807482530529433,-0.000473573105409741,0.219138961990785,-0.780861038009215,-0.00419335882134072,1.60320072537444e-05
30,1,0.684509661237904,6.82426412313696,642.202877715415,6611.83289666291,6908.3659412894,3.95692190154312e-06,0.000879996442970809,-0.000343543943017721,0.185532788334135,-0.814467211665865,-0.00404492869783393,1.65466976987077e-05
31,1,0.583173127915688,6.67277824662144,654.138374115811,6637.25349350298,6960.85747174064,-4.00957736451006e-06,0.00112317817899085,0.00248407572507858,0.170044865860414,-0.829955134139586,-0.00383165716666454,1.55943557721467e-05
32,1,0.582803051151402,6.67086491954606,653.883003506214,6642.16030721518,6934.35179398276,4.21312620932737e-06,0.0011123838726356,0.00247357366606593,0.16982894438483,-0.83017105561517,-0.0038313603362135,1.56020637803165e-05
33,1,0.583458278787932,6.67425331973166,656.087851847391,6640.38467008711,6936.36923369867,3.44038802031527e-06,0.00112963834142524,0.00249118031933904,0.170211402294023,-0.829788597705977,-0.00382164988286214,1.55052471559403e-05
34,1,0.832951396760477,7.13504790014581,614.508322210997,6569.11863428048,6852.68861170354,9.42555020272612e-07,0.000845744735287364,-0.000374359777197242,0.21598084421892,-0.78401915578108,-0.00452964539890492,1.88947589301232e-05
35,1,0.583260258859734,6.67322630153064,657.698726536653,6634.67623012777,6903.71141495721,1.05475752618581e-05,0.000849659204360626,-0.00023133959621191,0.170095444792518,-0.829904555207482,-0.00381133259715707,1.54270131925143e-05
36,1,0.676398376127173,7.19704984552261,598.944020863239,6533.06189892461,6852.11709757472,-4.51306306533186e-06,0.00104802547829045,-0.000404023099690676,0.233046359723784,-0.766953640276216,-0.00472760589279118,2.00623610995886e-05
37,1,0.901118014564056,7.30148428379668,614.327087798811,6568.19896275645,6870.08118072195,9.35486657044121e-07,0.00080940971838448,-0.000227152369916439,0.232841201875163,-0.767158798124837,-0.0046938892994376,1.93469194803509e-05
38,1,0.327379761190441,5.36328624998405,770.009810191776,6942.66276258873,7267.99146677374,4.74767436013432e-06,0.000250897937945653,6.04810193181038e-05,0.0498322866658265,-0.950167713334173,-0.00224864071696258,9.04562251746398e-06
39,1,0.583098493132792,6.67238596348454,654.743458378217,6639.8158417507,6971.50576120158,-5.49836986624608e-06,0.00113127607042608,0.00249482644721866,0.170000587535561,-0.829999412464439,-0.00382774892548847,1.55646308191808e-05
40,1,0.520122649283329,6.77366946298833,651.923264911025,6622.07446443552,6908.20236064283,5.47379103397116e-06,0.000989531573894231,-0.000287406845018268,0.178878827383091,-0.821121172616909,-0.00393560668405878,1.59378979166152e-05
41,1,0.582737159603509,6.67052875750974,661.260033014027,6640.42861159573,6957.10796662981,2.45877673062762e-07,0.00103987207237142,-0.000420177588239312,0.169791019028785,-0.830208980971215,-0.00378830607131297,1.52551229383396e-05
42,1,0.583020260965685,6.67199344682528,653.440998340966,6639.63373630824,6945.17692045113,-1.21391581410426e-06,0.00111344690541223,0.00247277086600661,0.169956287324172,-0.830043712675828,-0.00383501037905369,1.56258212479914e-05
43,1,0.725925953163846,6.8070808942638,651.920292274477,6636.04095888547,6950.55060573013,-2.00800459982216e-06,0.000822263797242669,-0.000348290195688605,0.180451690861403,-0.819548309138597,-0.00396366268793082,1.60166583846397e-05
44,1,0.836976430067062,7.3092519903997,591.999622959398,6534.2180291001,6827.29550948216,-1.72814785419145e-08,0.000990625114834102,-0.000274182530120015,0.241226330546055,-0.758773669453945,-0.00489164555759272,2.08559546795965e-05
45,1,0.70750119626687,7.26633648247232,595.068815028564,6534.78955820362,6814.8896790667,1.65618178018536e-06,0.00111631982590526,0.00301973288878798,0.241887443138931,-0.758112556861069,-0.00483146757444697,2.05201779261606e-05
46,1,0.583147116257847,6.67264040475945,653.420060140307,6642.61816805188,6951.39916384091,4.10718548962468e-07,0.00110448604944725,0.00246047507971525,0.170029306674284,-0.829970693325716,-0.00383574007280375,1.56283379658725e-05
47,1,0.869455063081526,7.28742554208618,612.603954484782,6555.97604326894,6854.42776136457,1.08619640043316e-06,0.000810843882831275,-0.00021364726126194,0.234602832077163,-0.765397167922837,-0.00469849334475975,1.94184489916836e-05
48,1,0.583266798271628,6.67326792585174,653.490927463787,6641.78626381042,6960.71143853119,-2.18293536985307e-06,0.00110836735648948,0.00246426509693265,0.170100143873971,-0.829899856126029,-0.00383591263696427,1.56264179743821e-05
49,1,0.351427863486291,6.12801495213379,724.377307183334,6814.96820594793,7154.68381859514,-6.16811024462677e-06,0.00079177364064016,-0.000400680582970381,0.10649713508192,-0.89350286491808,-0.00299637300840993,1.16785827723714e-05
50,1,0.717897622005819,6.78592032442783,651.920313894832,6635.49729986554,6961.52030691805,-2.76943362465844e-06,0.000768576615317356,-0.000324957305565476,0.178309068155019,-0.821690931844981,-0.00394414650926759,1.59668677574065e-05
51,1,0.582954969037296,6.67164627542328,656.51670938794,6639.53889427387,6939.11136779185,5.66001607282677e-06,0.0011376875975579,0.00250592222437263,0.169917108590669,-0.830082891409331,-0.00381671968202968,1.5478948106049e-05
52,1,0.583150624463661,6.67266470604667,660.942442526057,6634.58199320778,6953.63011996595,7.45303485946247e-07,0.00103286861365262,-0.000421495176851749,0.170032049693342,-0.829967950306658,-0.00379210690894293,1.52746764759635e-05
