k,exit_ok,gamma,kr,tgo,fuel_opt,fuel_sim,final_error_1,final_error_2,final_error_3,coeff1,coeff2,coeff3,coeff4
1,1,0.490101415155187,6.20059917995068,655.703540669803,6620.88569935272,6944.50025298072,1.17721532261205e-06,0.00120711657245253,-0.000226972158998251,0.120099120133961,-0.879900879866039,-0.00338628445995755,1.44217711910867e-05
2,1,3.16554307103053,11.7600566446693,708.744787899899,6786.58316733472,7115.27001228333,-9.00026265174356e-07,0.000895634529692937,-0.000763445626944303,0.437850155447067,-0.562149844552932,-0.00750323468838376,2.34115224832799e-05
3,1,0.486635860154088,6.18335030161835,654.876343448591,6625.60019921641,6905.68689910481,1.60023266030673e-05,0.00164183884422127,0.00246044155210257,0.118406486592175,-0.881593513407825,-0.00337480756407082,1.44180074712918e-05
4,1,3.4824395693883,13.1898589772038,726.093501065704,6852.07059103529,7163.71190715459,-1.18078217709353e-06,0.000468559588261051,-1.2322561815381e-05,0.706652370022796,-0.293347629977204,-0.00867874708887452,2.50181419885902e-05
5,1,3.38807544548102,12.3614246537094,659.644447410289,6703.98883846845,6993.73618078429,-7.96064098645564e-07,0.000975730786963694,-0.000688233412802219,0.498417956863823,-0.501582043136177,-0.00860938086572898,2.84085262154666e-05
6,1,0.488232053905076,6.19128987903515,653.327389120178,6626.4044178894,6919.21966952852,3.65596611313457e-06,0.00164043928191406,0.00245431042276323,0.119184398515233,-0.880815601484767,-0.00339007574902909,1.45050559317369e-05
7,1,0.475304833538298,6.12713084675395,651.529190164741,6634.78322826785,6935.28961547392,-7.31467885237841e-07,0.00124606352446299,-0.000315401237457991,0.112957037833089,-0.887042962166911,-0.00334063691092601,1.44340896695985e-05
8,1,2.01143866117055,9.1698095443037,689.881564159659,6730.005641811,7039.6880836472,-2.64554215975471e-06,0.000986514188746741,-0.000846142182126641,0.287550677931172,-0.712449322068828,-0.00561321776267501,1.92668730936947e-05
9,1,1.51906567983631,8.94809086890811,612.555653234493,6602.8666339904,6948.59664627166,-3.92363530252068e-06,0.000499210760323538,-0.000232248101383448,0.412233559177502,-0.587766440822498,-0.0063443688309964,2.38473036236503e-05
10,1,0.489093820814909,6.19558538889787,655.920524709997,6619.29531288812,6977.1847000981,-1.54906548015394e-05,0.00123706391794045,-0.000226883683353662,0.119606121449423,-0.880393878550577,-0.00338059068494425,1.4400577383493e-05
11,1,0.489636847568673,6.19828653743532,655.024434048284,6625.33073793686,6919.44340791883,5.85213923420846e-06,0.00168161778153616,0.00249294377863407,0.119871620198625,-0.880128379801375,-0.00338768261697046,1.4446300618625e-05
12,1,0.486147731076497,6.18092698603674,652.302878923759,6629.07461177338,6987.03817346117,-2.16470464221649e-05,0.00163574140605297,0.00244879210367799,0.118169460667808,-0.881830539332191,-0.00338590097491249,1.45263004612785e-05
13,1,0.483339441843078,6.16696710040377,653.610049445444,6627.35424977235,6949.40515678131,-1.49127045427015e-06,0.00144909845237463,-0.000380156328901648,0.116807760337536,-0.883192239662464,-0.00336636701410307,1.44355783953469e-05
14,1,0.0802017299772765,4.32723107299433,656.252168264727,6596.22481522303,6932.20540091911,-1.82969434762391e-05,-0.00400599348201854,-0.0372066870331764,0.00321600135721361,-0.996783998642786,-0.00177802313543548,1.00477445308056e-05
15,1,1.90996930073732,9.17794707098755,656.862100415,6666.88203244803,6975.13911237219,-1.94044337200054e-06,0.000951015139149867,-0.000728257233276963,0.331684763665769,-0.668315236334231,-0.00596876923890494,2.12714521631664e-05
16,1,0.488568000907793,6.19296175156868,653.686329606947,6622.88390956263,6932.93113878455,2.03206733676345e-06,0.00164781962043074,0.00246112421154976,0.119348467832183,-0.880651532167817,-0.00338974404581609,1.44930433842063e-05
17,1,0.486856604744764,6.18444976905348,653.894552617866,6622.63692970126,6933.05833086044,3.62151566304491e-07,0.00155898230371217,-0.000409473432227969,0.118514089132646,-0.881485910867354,-0.00338087993669422,1.44639072309082e-05
18,1,0.487878002369935,6.18953693952643,654.299711105726,6625.68106273988,6962.31698011289,-1.27318884494031e-05,0.00167639479749349,0.00248753908090293,0.119012471112786,-0.880987528887214,-0.00338343560802563,1.44578828728324e-05
19,1,0.483492626545059,6.16773542280574,652.551569477855,6627.25238730579,6959.17794848341,-1.03394266209788e-05,0.00149123605422379,-0.000381264369934797,0.116882540172442,-0.883117459827558,-0.00337253077689517,1.4484251542247e-05
