k,exit_ok,gamma,kr,tgo,fuel_opt,fuel_sim,final_error_1,final_error_2,final_error_3,coeff1,coeff2,coeff3,coeff4
1,1,0.559831024208596,5.11976754614111,637.650420447047,6545.42425096147,6868.16779958332,5.41298968729202e-07,-0.00017311694806866,-0.000366998137906194,1.15360932566283e-05,-0.999988463906743,-0.00244631738511235,1.2591716651469e-05
2,1,0.560000566829636,5.12010663719031,638.080059193378,6548.21605000777,6891.03759936207,3.64603902947765e-06,-0.000174278915494637,-0.000378543976694345,1.153945783215e-05,-0.999988460542168,-0.00244493592234355,1.25755984356842e-05
3,1,0.560948929840003,5.12200321919737,636.786237425005,6550.30110376146,6829.94918639364,-4.50911525808394e-06,-0.000172271474608815,-0.000363095896318555,1.15389471114472e-05,-0.999988461052889,-0.00245139272302448,1.26314297142829e-05
4,1,0.557473926076661,5.11505332702097,638.355078314383,6541.90866323701,6870.49189828711,2.06237968214673e-06,-0.00017299754838932,-0.00037972186692059,1.14956183852108e-05,-0.999988504381615,-0.00243992444337037,1.25523641673716e-05
5,1,0.571506869435931,5.14311907093444,630.942675743245,6555.51608513688,6866.86048828287,7.34309671583823e-07,-0.000176642319515863,-0.000362906139343977,1.17048097461751e-05,-0.999988295190254,-0.00249083046795918,1.29195317193356e-05
6,1,0.564135729358457,5.12837686652353,635.316944817167,6551.36998973309,6843.46482943643,-2.07163185565177e-06,-0.000174443657860874,-0.000366357853636146,1.15953904439335e-05,-0.999988404609556,-0.00246207824521721,1.27057134043485e-05
7,1,0.572401745941802,5.14490881595372,629.747337092388,6552.01314445942,6850.56188180567,-4.38164254665043e-07,-0.000176764048708959,-0.000359868397936225,1.17181699395406e-05,-0.99998828183006,-0.00249697939717704,1.29731369468376e-05
8,1,0.560434848351232,5.12097514025601,637.729120119255,6550.42492944949,6870.40574639188,1.08094504898222e-06,-0.000173796146099817,-0.000376827782019973,1.15398839338882e-05,-0.999988460116066,-0.00244696229289345,1.25915783154011e-05
9,1,0.566115998906564,5.13233740588605,633.876431962269,6549.98726729789,6914.00024377571,7.96899702249946e-06,-0.000176928451707207,-0.000387326348572969,1.16271432234407e-05,-0.999988372856777,-0.00247079754209804,1.27733846473766e-05
10,1,0.558740126995445,5.1175857213602,637.840294345134,6543.7659760986,6900.46012205216,6.10298681376292e-06,-0.000174295591101213,-0.000389553373679519,1.15152083439733e-05,-0.999988484791656,-0.00244387880431552,1.2578858245796e-05
11,1,0.561750041477696,5.12360554640869,636.985366969874,6550.02428645272,6843.46963824958,-2.34842104436518e-06,-0.000173798523146443,-0.000365744810551405,1.1563208413259e-05,-0.999988436791587,-0.00245188416782991,1.26274825117241e-05
12,1,0.565686090240896,5.13147750700277,634.296219442918,6554.24109081249,6910.75080956997,6.48892601517612e-06,-0.000175970870932151,-0.000387548701837659,1.1611269998976e-05,-0.999988388730001,-0.00246848446636894,1.27543456892266e-05
13,1,0.566557236829282,5.13321992182919,633.467914529259,6547.71842185054,6868.14159576964,1.11688596385947e-06,-0.000175286253207946,-0.000361698213964701,1.16386307930726e-05,-0.999988361369207,-0.00247308752916013,1.27920640716448e-05
14,1,0.563837522002295,5.12778048750553,634.825416733911,6545.96490301315,6856.20613594456,-6.28084287558007e-07,-0.000173779587770941,-0.000359707744792104,1.15945339301117e-05,-0.99998840546607,-0.00246351484528259,1.27239165626788e-05
15,1,0.564510792566627,5.12912696526403,634.844553605294,6551.14288349987,6873.24088606677,1.63470193925392e-06,-0.000174763077688496,-0.000373230315744877,1.15983565593437e-05,-0.999988401643441,-0.00246450106896771,1.27264903770732e-05
16,1,0.562834843472779,5.12577511843822,635.676847954529,6547.76992739721,6856.94596484569,-4.77638950135764e-07,-0.000173801222223115,-0.000365556916221976,1.15771248043216e-05,-0.999988422875196,-0.00245863781475287,1.26848915956963e-05
17,1,0.563999637953507,5.12810475306751,634.848029304804,6545.25316900724,6854.53944647002,-2.0236526843637e-07,-0.000174483896847073,-0.00036248005926609,1.16008363361116e-05,-0.999988399163664,-0.002463682495924,1.27238147209624e-05
18,1,0.562331974884499,5.12476935099168,636.239685197756,6550.4571451329,6885.95970929825,3.3355482137239e-06,-0.00017460222802467,-0.000380853423848748,1.15657296331208e-05,-0.999988434270367,-0.0024556724102173,1.26599740324505e-05
19,1,0.566902383875555,5.13391015506679,633.083978855096,6549.21946907927,6879.5856777387,3.10074419957274e-06,-0.00017589706412358,-0.000372715061530471,1.16374352341572e-05,-0.999988362564766,-0.00247513247421364,1.28093065063847e-05
20,1,0.563596333771169,5.12729812368616,635.147478900377,6546.38531697666,6879.32707814718,3.35933125974834e-06,-0.000175341849668974,-0.000376307405531406,1.15920543437138e-05,-0.999988407945656,-0.00246188594907843,1.27098203750374e-05
21,1,0.563963968499335,5.12803335509489,634.735843660716,6546.96275304057,6868.216325796,1.10674954205004e-06,-0.000174305146402931,-0.000367148080840707,1.1593768209253e-05,-0.999988406231791,-0.00246406168319631,1.27281356151912e-05
22,1,0.563240938075927,5.12658729177422,635.152802240716,6546.84736483219,6840.2718661362,-2.34545187981576e-06,-0.000173628046520083,-0.000361838843673468,1.15818987488374e-05,-0.999988418101251,-0.00246130572402541,1.27078453103661e-05
23,1,0.565330727633305,5.1307667957787,634.031767112668,6550.98100836842,6872.17541504745,1.14746056620266e-06,-0.000174390813742479,-0.000369295012205839,1.16071249032162e-05,-0.999988392875097,-0.00246895358594245,1.2763219535213e-05
24,1,0.564375672165189,5.12885677711374,634.401549449721,6545.86476589019,6881.13039119926,3.48398670178912e-06,-0.000175298064263966,-0.000374352559447289,1.16019853534975e-05,-0.999988398014646,-0.0024660090945541,1.27435991288967e-05
25,1,0.563265032964426,5.12663549784246,635.641356714485,6549.10963107154,6868.70621647119,1.07949566593387e-06,-0.000174423237427158,-0.000370400957763195,1.15840752968415e-05,-0.999988415924703,-0.00245945188506471,1.26884376067655e-05
26,1,0.563224066484231,5.12655356446004,635.878893593314,6550.34395728458,6878.47117104123,1.93836664794414e-06,-0.00017450974191964,-0.000371815171092749,1.15833715431697e-05,-0.999988416628457,-0.00245846871370036,1.26787570394222e-05
