k,exit_ok,gamma,kr,tgo,fuel_opt,fuel_sim,final_error_1,final_error_2,final_error_3,coeff1,coeff2,coeff3,coeff4
1,1,0.57663635786886,6.63904853953607,659.605498801278,6642.24005047624,6964.52516513251,1.25816039346161e-06,0.00108847165855388,-0.000405630096793175,0.166254030575216,-0.833745969424784,-0.00376858334998834,1.52593947798002e-05
2,1,0.576609972769054,6.63891730772035,660.043411286082,6645.0188508946,6987.67941628492,-6.40794731780422e-06,0.00110336241489308,-0.000412047142162919,0.166239346390154,-0.833760653609846,-0.00376596138639881,1.52388522695376e-05
3,1,0.575715986590574,6.63430346393422,658.795836618172,6647.28267704599,6925.75727008066,9.35340517437563e-06,0.00108146116312659,-0.000392368296161294,0.16572340035362,-0.83427659964638,-0.00376880817138461,1.52859924652072e-05
4,1,0.576172495308122,6.63665918189871,660.352850645583,6638.98039288886,6967.05484224467,-5.3709261819575e-06,0.00111503146063451,-0.000408997060731053,0.16598675224001,-0.83401324775999,-0.00376210436702229,1.52193954499459e-05
5,1,0.57717726827622,6.64183342395591,652.762991067751,6651.5765962901,6962.6104917725,-1.75659148506254e-06,0.0010294126476702,-0.00038202665746212,0.166565763911214,-0.833434236088786,-0.00381069777228071,1.55875167023583e-05
6,1,0.794893506233414,7.42982384180374,601.583206262193,6548.58619968292,6824.71623580372,-1.35040939675327e-07,0.000808897528938571,-0.000364358304068446,0.261661727648681,-0.738338272351319,-0.00494790017002776,2.05299129959229e-05
7,1,0.577362991559817,6.64279620463034,651.539586010678,6648.00590671822,6946.09114292719,-8.29932486632549e-07,0.00102067522877865,-0.000377966091036797,0.166673587995951,-0.833326412004049,-0.00381875751486625,1.56483774743776e-05
8,1,0.576229870155658,6.63695274861002,659.710594403052,6647.28155645492,6966.73003299963,-3.77179653615319e-06,0.00110130965405581,-0.000406555831432342,0.166019582205849,-0.833980417794151,-0.00376603919595832,1.52497178563914e-05
9,1,0.576958516814334,6.64070453579226,655.766306878765,6646.4270662655,7010.73396528807,-1.6441245430983e-05,0.00108115106634968,-0.00040092202834785,0.166439371543868,-0.833560628456132,-0.00379219184235969,1.54424413201664e-05
10,1,0.576278732266404,6.63720852655057,659.828120073839,6640.75411801808,6997.45524694029,-1.26929473250021e-05,0.00106938864248153,0.00241419905796647,0.166048188257352,-0.833951811742648,-0.00376560558112405,1.52448734067038e-05
11,1,0.576602709863563,6.63887625269977,658.933704970473,6646.73253483407,6939.35575039339,3.08696652503103e-06,0.00108309770438171,-0.000403547426685691,0.166234752641133,-0.833765247358867,-0.00377226549536179,1.52901282550368e-05
