k,exit_ok,gamma,kr,tgo,fuel_opt,coeff1,coeff2,coeff3,coeff4
1,1,0.866249528993166,5.7326076212759,692.89963837441,6686.7855537791,1.64052183001364e-05,-0.9999835947817,-0.0026934928415243,1.1940198515992e-05
2,1,0.866100313635546,5.73230103255314,693.488424251111,6690.82933967166,1.51706215334801e-05,-0.999984829378466,-0.00269098318247107,1.19192946802887e-05
3,1,0.867732560448056,5.73557349992392,692.011630223964,6691.81113603902,1.63969284640392e-05,-0.999983603071536,-0.00269909213272315,1.19770555165223e-05
4,1,0.864484749050936,5.72907797644628,693.765610451907,6684.12190811275,1.63690650425396e-05,-0.999983630934957,-0.00268758688697995,1.19030757297811e-05
5,1,0.876092559733928,5.75228551663626,685.461802070027,6694.6887384272,1.52910955462705e-05,-0.999984708904454,-0.00273707162638074,1.22426072559695e-05
6,1,0.870021219851516,5.7401428401762,690.316371853235,6691.98224870307,1.52177519696104e-05,-0.99998478224803,-0.0027090283732075,1.20455421827958e-05
7,1,0.876891144786038,5.75389079402295,684.135544596352,6690.71897667856,1.65363559754415e-05,-0.999983463644024,-0.00274355271874506,1.22935498029169e-05
8,1,0.866840629778497,5.73378973958685,693.054456445518,6692.4107021363,1.64004403356723e-05,-0.999983599559664,-0.002693743980536,1.19373256686268e-05
9,1,0.871500054399151,5.7431005094852,688.767831146382,6690.61403145563,1.52358005294081e-05,-0.999984764199471,-0.00271726611771067,1.21060010277095e-05
10,1,0.865431853175128,5.7309641089439,693.222249801792,6686.1139974542,1.51620431282098e-05,-0.999984837956872,-0.00269105213666824,1.19256676398717e-05
11,1,0.867811309617757,5.73573115056693,692.193786901998,6691.5036047656,1.64210100816475e-05,-0.999983578989918,-0.00269849575601291,1.19710816517345e-05
12,1,0.871671990464385,5.74345239369909,689.151046752279,6694.09474381894,1.64538943880036e-05,-0.999983546105612,-0.00271601220017699,1.20932821440847e-05
